criterion,model_name,n,random_state,runtime,val_acc,val_nll
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.001_n=3441_random_state=2001,3441,2001,3484.245535135269,0.9429587125778198,0.1592580071368882
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.001_n=3441_random_state=3001,3441,3001,3986.473563194275,0.9512802362442015,0.1471561143218084
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.0001_n=370_random_state=1001,370,1001,4348.455049753189,0.8648648858070374,1.4533904790878296
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.0001_n=370_random_state=2001,370,2001,4402.226113796234,0.7972973585128784,1.7049179077148438
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.0001_n=370_random_state=3001,370,3001,3748.0566823482513,0.824324369430542,1.553532958030701
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.0001_n=3441_random_state=1001,3441,1001,4007.910934448242,0.8441678285598755,1.3085945595142452
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.0001_n=3441_random_state=2001,3441,2001,3994.071215391159,0.7869132161140442,1.475065278452496
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.0001_n=3441_random_state=3001,3441,3001,4043.083053588867,0.7963727116584778,1.2933675605197286
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.1_n=370_random_state=1001,370,1001,3746.229392528534,0.9054054617881776,0.2760559320449829
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.1_n=370_random_state=2001,370,2001,4570.027894020081,0.95945942401886,0.1663428097963333
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.1_n=370_random_state=3001,370,3001,4278.535579204559,0.8918919563293457,0.3177531361579895
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.1_n=3441_random_state=1001,3441,1001,3491.560809135437,0.9554054141044616,0.1463388518192047
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.1_n=3441_random_state=2001,3441,2001,4088.778086423874,0.9575864672660828,0.1424422901730204
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.1_n=3441_random_state=3001,3441,3001,3859.259740591049,0.967496395111084,0.1201790399676145
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.01_n=370_random_state=1001,370,1001,4250.237122058868,0.9459459781646729,0.1579040586948394
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.01_n=370_random_state=2001,370,2001,4197.478928089142,0.9324324727058412,0.2082959413528442
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.01_n=370_random_state=3001,370,3001,4277.860468626022,0.8918918967247009,0.2694193422794342
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.01_n=3441_random_state=1001,3441,1001,4029.0979776382446,0.9553343057632446,0.1487866061371426
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.01_n=3441_random_state=2001,3441,2001,3472.8943672180176,0.9580369591712952,0.116251649638248
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.01_n=3441_random_state=3001,3441,3001,3486.459212064743,0.9647936820983888,0.1294296172469161
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.001_n=370_random_state=1001,370,1001,4534.262948989868,0.9459459781646729,0.186563953757286
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.001_n=370_random_state=2001,370,2001,4518.573577165604,0.9054054021835328,0.2784634232521057
