criterion,model_name,n,random_state,runtime,val_acc,val_nll
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.001_n=1020_random_state=2001,1020,2001,3784.6239976882935,0.8480393290519714,0.8731778193922604
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.001_n=1020_random_state=3001,1020,3001,3746.0428903102875,0.7941176891326904,1.062700535736832
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.0001_n=510_random_state=1001,510,1001,4313.403940916061,0.3333333432674408,3.757092952728272
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.0001_n=510_random_state=2001,510,2001,3775.7579457759857,0.3137255012989044,3.754570245742798
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.0001_n=510_random_state=3001,510,3001,3822.5917789936066,0.2549019753932953,3.8907604217529297
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.0001_n=1020_random_state=1001,1020,1001,3768.7172141075134,0.3774510025978088,3.649828022601557
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.0001_n=1020_random_state=2001,1020,2001,3792.5713381767273,0.3774510324001312,3.649379487131156
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.0001_n=1020_random_state=3001,1020,3001,4196.432747840881,0.2794117927551269,3.96482951968324
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.1_n=510_random_state=1001,510,1001,4147.650153398514,0.7647058963775635,0.8870131373405457
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.1_n=510_random_state=2001,510,2001,4177.008182287216,0.7941176891326904,0.6952189207077026
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.1_n=510_random_state=3001,510,3001,4138.140601634979,0.833333432674408,0.7887343764305115
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.1_n=1020_random_state=1001,1020,1001,4148.658890962601,0.9166667461395264,0.2981541834625543
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.1_n=1020_random_state=2001,1020,2001,3774.4605741500854,0.9215686917304992,0.3468531387693742
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.1_n=1020_random_state=3001,1020,3001,4163.162974834442,0.8872549533843994,0.3664314314430835
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.01_n=510_random_state=1001,510,1001,4544.762075662613,0.7549020051956177,0.9703400731086732
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.01_n=510_random_state=2001,510,2001,3728.8858885765076,0.8725491166114807,0.5779942274093628
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.01_n=510_random_state=3001,510,3001,3833.6109290122986,0.7941177487373352,0.9165414571762084
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.01_n=1020_random_state=1001,1020,1001,4168.873499631882,0.9264706969261168,0.2721858100563872
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.01_n=1020_random_state=2001,1020,2001,4171.937433958054,0.9019608497619628,0.3840769283911761
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.01_n=1020_random_state=3001,1020,3001,3762.082250356674,0.8872550129890442,0.4016430202652426
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.001_n=510_random_state=1001,510,1001,4293.551818609238,0.8137255907058716,1.2381839752197266
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.001_n=510_random_state=2001,510,2001,4230.007837057114,0.7941176295280457,1.0245314836502075
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.001_n=510_random_state=3001,510,3001,3766.548120498657,0.7941176891326904,1.396921157836914
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.001_n=1020_random_state=1001,1020,1001,3922.0306668281555,0.8823530673980713,0.7354377975650862
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.001_n=1020_random_state=2001,1020,2001,3743.6100890636444,0.8480393290519714,0.8717423712506014
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.001_n=1020_random_state=3001,1020,3001,3783.714061498642,0.7941176891326904,1.0613394648421044
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.0001_n=510_random_state=1001,510,1001,3714.5038406848907,0.3235294222831726,3.756994009017944
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.0001_n=510_random_state=2001,510,2001,3694.3501172065735,0.3137255012989044,3.754481077194214
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.0001_n=510_random_state=3001,510,3001,3769.9896330833435,0.2549019753932953,3.8906638622283936
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.0001_n=1020_random_state=1001,1020,1001,3777.1109626293182,0.3774510025978088,3.649691558351704
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.0001_n=1020_random_state=2001,1020,2001,3753.3361394405365,0.3774510324001312,3.6492378758449178
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.0001_n=1020_random_state=3001,1020,3001,3753.6675024032593,0.2794117927551269,3.9647587233898687
l2-sp,l2-sp_alpha=0.01_beta=1e-05_lr_0=0.1_n=510_random_state=1001,510,1001,4172.716420650482,0.7549020051956177,0.917602837085724
l2-sp,l2-sp_alpha=0.01_beta=1e-05_lr_0=0.1_n=510_random_state=2001,510,2001,3974.154711008072,0.7941176891326904,0.7499434351921082
l2-sp,l2-sp_alpha=0.01_beta=1e-05_lr_0=0.1_n=510_random_state=3001,510,3001,4163.728544712067,0.8235294818878174,0.8701774477958679
l2-sp,l2-sp_alpha=0.01_beta=1e-05_lr_0=0.1_n=1020_random_state=1001,1020,1001,3769.5371301174164,0.9019608497619628,0.3272257546583811
l2-sp,l2-sp_alpha=0.01_beta=1e-05_lr_0=0.1_n=1020_random_state=2001,1020,2001,4163.449872970581,0.9068628549575806,0.3741342968800488
l2-sp,l2-sp_alpha=0.01_beta=1e-05_lr_0=0.1_n=1020_random_state=3001,1020,3001,3706.0121784210205,0.8676471710205078,0.4099898092886981
l2-sp,l2-sp_alpha=0.01_beta=1e-05_lr_0=0.01_n=510_random_state=1001,510,1001,3833.613313436508,0.7549020051956177,0.9712145924568176
l2-sp,l2-sp_alpha=0.01_beta=1e-05_lr_0=0.01_n=510_random_state=2001,510,2001,4168.527014255524,0.8725491166114807,0.5764533281326294
l2-sp,l2-sp_alpha=0.01_beta=1e-05_lr_0=0.01_n=510_random_state=3001,510,3001,4150.723307132721,0.803921639919281,0.9162478446960448
l2-sp,l2-sp_alpha=0.01_beta=1e-05_lr_0=0.01_n=1020_random_state=1001,1020,1001,4258.121358633041,0.9264706969261168,0.2716378937749302
l2-sp,l2-sp_alpha=0.01_beta=1e-05_lr_0=0.01_n=1020_random_state=2001,1020,2001,3760.1747992038727,0.9019608497619628,0.3829030435459286
l2-sp,l2-sp_alpha=0.01_beta=1e-05_lr_0=0.01_n=1020_random_state=3001,1020,3001,4104.542563915253,0.8872550129890442,0.4011292364083084
l2-sp,l2-sp_alpha=0.01_beta=1e-05_lr_0=0.001_n=510_random_state=1001,510,1001,3980.620026111603,0.8137255907058716,1.237911581993103
l2-sp,l2-sp_alpha=0.01_beta=1e-05_lr_0=0.001_n=510_random_state=2001,510,2001,4213.054669857025,0.7941176295280457,1.0243157148361206
l2-sp,l2-sp_alpha=0.01_beta=1e-05_lr_0=0.001_n=510_random_state=3001,510,3001,4144.844707489014,0.7941176891326904,1.3967348337173462
l2-sp,l2-sp_alpha=0.01_beta=1e-05_lr_0=0.001_n=1020_random_state=1001,1020,1001,4178.462003469467,0.8823530673980713,0.735275921868343
l2-sp,l2-sp_alpha=0.01_beta=1e-05_lr_0=0.001_n=1020_random_state=2001,1020,2001,4148.853276491165,0.8480393290519714,0.8716128316580081
l2-sp,l2-sp_alpha=0.01_beta=1e-05_lr_0=0.001_n=1020_random_state=3001,1020,3001,4567.1801216602325,0.7941176891326904,1.0612889785392612
l2-sp,l2-sp_alpha=0.01_beta=1e-05_lr_0=0.0001_n=510_random_state=1001,510,1001,4128.014629840851,0.3235294222831726,3.756980180740357
l2-sp,l2-sp_alpha=0.01_beta=1e-05_lr_0=0.0001_n=510_random_state=2001,510,2001,3907.318343400955,0.3137255012989044,3.75447416305542
l2-sp,l2-sp_alpha=0.01_beta=1e-05_lr_0=0.0001_n=510_random_state=3001,510,3001,3947.781819343567,0.2549019753932953,3.8907203674316406
