alpha,beta,lr_0,n,n_iter,random_state,runtime,seed,val_acc,val_nll,test_acc,test_nll
0.00758947976208385,0.0006780776932355295,0.0023886297077207034,100.0,0.0,1001.0,3291.860969543457,0.0,0.6000000834465027,1.2913535833358765,0.6894999742507935,1.0073120315551762
1.1021585497520294e-06,1e-06,0.1,100.0,1.0,1001.0,9627.154016256332,0.0,0.4000000059604645,3.1932857036590576,0.6894999742507935,1.0073120315551762
0.004564912037160564,0.001518049435540518,0.0006268116975548645,100.0,2.0,1001.0,12253.339414596558,0.0,0.7000000476837158,1.1144607067108154,0.6499999761581421,1.1012056810379032
0.00028687837618658943,0.01,0.002247734663786612,100.0,3.0,1001.0,14865.472125530243,0.0,0.6000000834465027,1.209141731262207,0.6499999761581421,1.1012056810379032
0.01,0.01,0.0001,100.0,4.0,1001.0,17441.893065929413,0.0,0.6500000953674316,1.2166361808776855,0.6499999761581421,1.1012056810379032
1.6021892870288293e-06,0.0022110071554229784,0.0001,100.0,5.0,1001.0,20028.205738544464,0.0,0.6500000953674316,1.2160073518753052,0.6499999761581421,1.1012056810379032
0.01,0.003369891365431931,0.1,100.0,6.0,1001.0,22610.51042699814,0.0,0.7500000596046448,0.6518603563308716,0.8460000157356262,0.5043913643836976
0.01,0.0026118946246365894,0.1,100.0,7.0,1001.0,25208.15143609047,0.0,0.8000001311302185,0.686126708984375,0.8460000157356262,0.5043913643836976
1e-06,0.0019976483319116512,0.1,100.0,8.0,1001.0,27797.37632250786,0.0,0.6500000953674316,1.7872979640960691,0.8460000157356262,0.5043913643836976
1e-06,0.00015028905176436418,0.0001,100.0,9.0,1001.0,30466.98995614052,0.0,0.6500000953674316,1.2158890962600708,0.8460000157356262,0.5043913643836976
0.01,0.01,0.1,100.0,10.0,1001.0,33076.94438767433,0.0,0.6500000357627869,1.15559184551239,0.8460000157356262,0.5043913643836976
0.01,0.0021530949268248477,0.1,100.0,11.0,1001.0,35562.280707359314,0.0,0.7500000596046448,0.548365592956543,0.8632000088691711,0.4417235074996949
0.01,6.847069007958116e-06,0.0001,100.0,12.0,1001.0,38147.27944111824,0.0,0.6500000953674316,1.216221570968628,0.8632000088691711,0.4417235074996949
0.01,1.7316790360721214e-05,0.1,100.0,13.0,1001.0,40780.81652379036,0.0,0.7000000476837158,1.0703914165496826,0.8632000088691711,0.4417235074996949
0.01,0.0004817885762790636,0.1,100.0,14.0,1001.0,43350.78537917137,0.0,0.7500000596046448,0.8344308733940125,0.8632000088691711,0.4417235074996949
0.01,1.323884817364644e-06,0.1,100.0,15.0,1001.0,45924.503970861435,0.0,0.7000001072883606,1.2640610933303833,0.8632000088691711,0.4417235074996949
0.0013278472462551255,0.0015480239548181375,0.1,100.0,16.0,1001.0,48539.057794094086,0.0,0.7000000476837158,0.8323107957839966,0.8632000088691711,0.4417235074996949
0.01,1e-06,0.0001,100.0,17.0,1001.0,51109.58099746704,0.0,0.6500000953674316,1.2162344455718994,0.8632000088691711,0.4417235074996949
5.237245127903845e-05,2.0052307347909896e-05,0.0001,100.0,18.0,1001.0,53664.95204138756,0.0,0.6500000953674316,1.2158783674240112,0.8632000088691711,0.4417235074996949
0.01,1e-06,0.0025238401643394174,100.0,19.0,1001.0,56430.657232284546,0.0,0.550000011920929,1.3057425022125244,0.8632000088691711,0.4417235074996949
1e-06,1e-06,0.0001,100.0,20.0,1001.0,58988.174661159515,0.0,0.6500000953674316,1.2159008979797363,0.8632000088691711,0.4417235074996949
1e-06,0.01,0.001701594132450598,100.0,21.0,1001.0,61619.66487336159,0.0,0.7000001072883606,1.2950270175933838,0.8632000088691711,0.4417235074996949
0.01,0.01,0.1,100.0,22.0,1001.0,64229.6193048954,0.0,0.6500000357627869,1.15559184551239,0.8632000088691711,0.4417235074996949
1e-06,6.498218292120646e-05,0.007938130701505978,100.0,23.0,1001.0,66878.64798998833,0.0,0.5,1.640546202659607,0.8632000088691711,0.4417235074996949
3.904909915566774e-05,0.01,0.0001,100.0,24.0,1001.0,69469.20428228378,0.0,0.6500000953674316,1.2163242101669312,0.8632000088691711,0.4417235074996949
0.00018956440643841084,0.00034091054009990717,0.0001,100.0,25.0,1001.0,72221.75473427773,0.0,0.6500000953674316,1.2159119844436646,0.8632000088691711,0.4417235074996949
0.01,1.1078061091409419e-05,0.004582178974031,100.0,26.0,1001.0,74953.51303195953,0.0,0.6500000953674316,1.2002543210983276,0.8632000088691711,0.4417235074996949
1e-06,8.315521734461236e-06,0.0001,100.0,27.0,1001.0,77880.54345369339,0.0,0.6500000953674316,1.2158838510513306,0.8632000088691711,0.4417235074996949
2.4450899742068266e-05,0.0012504522907136597,0.0014596809220855241,100.0,28.0,1001.0,80541.00574755669,0.0,0.7000001072883606,1.3325927257537842,0.8632000088691711,0.4417235074996949
0.01,0.00157072758902848,0.1,100.0,29.0,1001.0,83112.77937817574,0.0,0.7000000476837158,0.7388203740119934,0.8632000088691711,0.4417235074996949
0.01,0.0005298655084489258,0.03705858201247335,100.0,30.0,1001.0,85981.7423362732,0.0,0.7500000596046448,0.7447851300239563,0.8632000088691711,0.4417235074996949
0.01,0.0004713003221480607,0.044011657694055024,100.0,31.0,1001.0,88602.1833422184,0.0,0.8000000715255737,0.6669972538948059,0.8632000088691711,0.4417235074996949
0.01,0.00038650830350903765,0.1,100.0,32.0,1001.0,91315.86563062668,0.0,0.7500000596046448,0.95815771818161,0.8632000088691711,0.4417235074996949
0.0010330292341131126,0.002321833033356864,0.027543838535573472,100.0,33.0,1001.0,93900.36057686806,0.0,0.7000000476837158,1.0278329849243164,0.8632000088691711,0.4417235074996949
2.3071460588521688e-05,1e-06,0.0006756410673973936,100.0,34.0,1001.0,96503.38242864609,0.0,0.7000000476837158,1.123726487159729,0.8632000088691711,0.4417235074996949
1e-06,0.01,0.0001,100.0,35.0,1001.0,99140.70796847343,0.0,0.6500000953674316,1.2163095474243164,0.8632000088691711,0.4417235074996949
1.7547413041177135e-06,7.91075667332751e-06,0.0005043796336040412,100.0,0.0,1001.0,3343.366074323654,1.0,0.7500001192092896,1.03718364238739,0.6394999623298645,1.1091245500564582
0.0034424767798646888,0.01,0.06409990349943775,100.0,1.0,1001.0,9107.608215808868,1.0,0.7500001192092896,0.9973223805427552,0.7540000081062317,1.0179922554016114
0.008463400565776706,0.005512774888462539,0.010742089973649645,100.0,2.0,1001.0,11787.747111082077,1.0,0.6500000357627869,1.547222375869751,0.7540000081062317,1.0179922554016114
0.00024277544341448835,0.01,0.1,100.0,3.0,1001.0,14381.96175956726,1.0,0.6000000238418579,1.95780086517334,0.7540000081062317,1.0179922554016114
0.004878197670148154,0.0016058343318574035,0.1,100.0,4.0,1001.0,16595.925686597824,1.0,0.8000001311302185,0.5363261103630066,0.8456999659538269,0.5156711357116698
3.5239219730803998e-06,6.754924031613343e-05,0.00010000274680042328,100.0,5.0,1001.0,19161.9245326519,1.0,0.6500000953674316,1.2158892154693604,0.8456999659538269,0.5156711357116698
1.0099430569793306e-06,0.0003807506804079307,0.0010944771524217449,100.0,6.0,1001.0,21794.788578033447,1.0,0.7000001072883606,1.1973892450332642,0.8456999659538269,0.5156711357116698
1.0904872488380545e-05,1.9268438755293445e-05,0.0011060165756560214,100.0,7.0,1001.0,24462.004806995392,1.0,0.7000001072883606,1.1993982791900637,0.8456999659538269,0.5156711357116698
0.007473508150242641,0.0005038022125539029,0.1,100.0,8.0,1001.0,27067.604927301407,1.0,0.7500000596046448,0.7831610441207886,0.8456999659538269,0.5156711357116698
1.0431939151910448e-06,7.379171612800151e-06,0.0029587952684822457,100.0,9.0,1001.0,29751.67736840248,1.0,0.6500000953674316,1.2957940101623535,0.8456999659538269,0.5156711357116698
5.686144031907249e-06,1.0912308349129637e-06,0.0002053231265987267,100.0,10.0,1001.0,32499.23491334915,1.0,0.7000000476837158,1.0801399946212769,0.8456999659538269,0.5156711357116698
0.008172365534443343,0.0028302814898165116,0.1,100.0,11.0,1001.0,35121.81898474693,1.0,0.7500000596046448,0.7244490385055542,0.8456999659538269,0.5156711357116698
4.682288996178501e-05,3.7495463291043173e-06,0.0001,100.0,12.0,1001.0,37726.88698744774,1.0,0.6500000953674316,1.215903639793396,0.8456999659538269,0.5156711357116698
1.0109973505139507e-05,0.0037366826203536064,0.0007927728346301388,100.0,13.0,1001.0,40345.13301348686,1.0,0.7000001072883606,1.1313649415969849,0.8456999659538269,0.5156711357116698
0.003097715943442142,0.0010946418662463012,0.1,100.0,14.0,1001.0,42996.24819111824,1.0,0.7000001072883606,0.7967478036880493,0.8456999659538269,0.5156711357116698
3.4999863803796377e-06,0.004176006572892595,0.0004341407842369378,100.0,15.0,1001.0,45638.448434114456,1.0,0.7000001072883606,1.0078946352005005,0.8456999659538269,0.5156711357116698
3.4702416761523514e-06,0.0031601213631283634,0.0014820576714812566,100.0,16.0,1001.0,48277.966599702835,1.0,0.7000001072883606,1.3156226873397827,0.8456999659538269,0.5156711357116698
1.0277339312674429e-05,0.01,0.00020594981879017632,100.0,17.0,1001.0,50902.32429552078,1.0,0.7000000476837158,1.0798944234848022,0.8456999659538269,0.5156711357116698
2.0068819695087063e-05,1e-06,0.000323715057249193,100.0,18.0,1001.0,53555.73899769783,1.0,0.8000001311302185,1.0348985195159912,0.8456999659538269,0.5156711357116698
0.00024533361963028326,0.01,0.0007787680010459398,100.0,19.0,1001.0,56175.00634431839,1.0,0.6500000357627869,1.1129393577575684,0.8456999659538269,0.5156711357116698
0.002248523267379158,0.00027904724827022115,0.00016216831214785473,100.0,20.0,1001.0,58782.81396603584,1.0,0.6000000834465027,1.122880220413208,0.8456999659538269,0.5156711357116698
3.225578627879129e-05,0.006547091070915264,0.0003942290782906613,100.0,21.0,1001.0,61421.37577700615,1.0,0.7500001192092896,1.0208981037139893,0.8456999659538269,0.5156711357116698
6.0069888192968376e-05,1.9744204854736826e-06,0.0005550570845310422,100.0,22.0,1001.0,64048.496416807175,1.0,0.7000000476837158,1.1466329097747805,0.8456999659538269,0.5156711357116698
3.908020693010721e-05,0.01,0.0012172324490533448,100.0,23.0,1001.0,66665.17125964165,1.0,0.6500000357627869,1.2864580154418943,0.8456999659538269,0.5156711357116698
1e-06,1e-06,0.05803213823579994,100.0,24.0,1001.0,69277.99005103111,1.0,0.8000000715255737,0.7821117043495178,0.8456999659538269,0.5156711357116698
3.7784639908946044e-06,0.01,0.03474143309960845,100.0,25.0,1001.0,71914.70873379707,1.0,0.7000000476837158,1.5417158603668213,0.8456999659538269,0.5156711357116698
0.0020365618510775198,1e-06,0.0010396607508305518,100.0,26.0,1001.0,74601.01128292084,1.0,0.6500000953674316,1.1872527599334717,0.8456999659538269,0.5156711357116698
1e-06,0.01,0.1,100.0,27.0,1001.0,77224.72743558884,1.0,0.5000000596046448,2.410679340362549,0.8456999659538269,0.5156711357116698
0.01,0.0004404759803905564,0.0007376245377513336,100.0,28.0,1001.0,79895.49530625343,1.0,0.7000000476837158,1.1079779863357544,0.8456999659538269,0.5156711357116698
8.504302436498985e-05,1e-06,0.03637513811548847,100.0,29.0,1001.0,82502.44237661362,1.0,0.7000000476837158,0.8298516273498535,0.8456999659538269,0.5156711357116698
0.01,0.0017051621951755006,0.057680971887208506,100.0,30.0,1001.0,85164.28199076653,1.0,0.8000000715255737,0.5859436392784119,0.8456999659538269,0.5156711357116698
