criterion,model_name,n,random_state,runtime,val_acc,val_nll
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.0001_n=1000_random_state=2001,1000,2001,7690.132985591888,0.9650000929832458,0.1755468440055847
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.0001_n=1000_random_state=3001,1000,3001,7608.774235963821,0.949999988079071,0.1734477758407592
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.0001_n=10000_random_state=1001,10000,1001,9720.094772338867,0.9520000219345092,0.2216646585464477
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.0001_n=10000_random_state=2001,10000,2001,7660.127528429031,0.9440000653266908,0.2267934558391571
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.0001_n=10000_random_state=3001,10000,3001,7670.3464550971985,0.949999988079071,0.2105509397983551
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.0001_n=50000_random_state=1001,50000,1001,7582.55002951622,0.9506000280380248,0.2169194630622863
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.0001_n=50000_random_state=2001,50000,2001,7704.10319185257,0.9538999795913696,0.2076238265514373
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.0001_n=50000_random_state=3001,50000,3001,7584.892580032349,0.9503999948501588,0.2165144747018814
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.1_n=100_random_state=1001,100,1001,5311.3249089717865,0.6000000238418579,1.0927343368530271
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.1_n=100_random_state=2001,100,2001,5242.802684545517,0.7000001072883606,0.99874746799469
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.1_n=100_random_state=3001,100,3001,5171.9986743927,1.0000001192092896,0.2470187395811081
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.1_n=1000_random_state=1001,1000,1001,7656.161962747574,0.9700000882148744,0.0901361104846
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.1_n=1000_random_state=2001,1000,2001,8144.832658529282,0.9550000429153442,0.146428472995758
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.1_n=1000_random_state=3001,1000,3001,14187.19021654129,0.9700000286102296,0.1038668453693389
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.1_n=10000_random_state=1001,10000,1001,7744.174381494522,0.9660000801086426,0.105460698723793
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.1_n=10000_random_state=2001,10000,2001,8339.050391435623,0.9649999737739564,0.1108948360681534
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.1_n=10000_random_state=3001,10000,3001,9845.760333061218,0.9690000414848328,0.1071689530611038
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.1_n=50000_random_state=1001,50000,1001,7638.6399075984955,0.9812999367713928,0.0581246246218681
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.1_n=50000_random_state=2001,50000,2001,8196.890372991562,0.9805999398231506,0.0651597142232582
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.1_n=50000_random_state=3001,50000,3001,7637.194459438324,0.9818999767303468,0.0611720566324889
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.01_n=100_random_state=1001,100,1001,5271.399252414703,0.8000000715255737,0.6460973620414734
