alpha,beta,lr_0,n,n_iter,random_state,runtime,seed,val_acc,val_nll,test_acc,test_nll
0.00758947976208385,0.0006780776932355295,0.0023886297077207034,370.0,0.0,1001.0,3950.842143535614,0.0,0.9324324727058412,0.1656830459833145,0.8829303979873657,0.4014874514893944
1.1021585497520294e-06,1e-06,0.1,370.0,1.0,1001.0,11848.482882261276,0.0,0.8918919563293457,0.2710461020469665,0.8829303979873657,0.4014874514893944
0.0023638775577762773,0.0014558263130025819,0.0006702689505612753,370.0,2.0,1001.0,15563.387040138245,0.0,0.9594594836235046,0.208767369389534,0.8829303979873657,0.4014874514893944
0.01,0.000337207774558216,0.008133773091478154,370.0,3.0,1001.0,19318.812913179398,0.0,0.9594594836235046,0.1616339385509491,0.892498254776001,0.3660049864392282
0.01,3.119811525072899e-05,0.00040797387532704306,370.0,4.0,1001.0,23596.69893527031,0.0,0.9729729890823364,0.2857519686222076,0.892498254776001,0.3660049864392282
0.01,0.0006885553673233921,0.04323335489472368,370.0,5.0,1001.0,27366.654731988907,0.0,0.9324324131011964,0.1736791878938675,0.892498254776001,0.3660049864392282
0.01,0.00041109337035504694,0.0001,370.0,6.0,1001.0,31690.150560855865,0.0,0.8648648858070374,1.4532901048660278,0.892498254776001,0.3660049864392282
0.001679700426724405,0.001856466416735747,0.0037849791381118704,370.0,7.0,1001.0,35317.63641881943,0.0,0.9189189672470092,0.1729333996772766,0.892498254776001,0.3660049864392282
0.004339412092834867,1e-06,0.0009126901927723014,370.0,8.0,1001.0,39073.870262384415,0.0,0.9459459781646729,0.1897062361240387,0.892498254776001,0.3660049864392282
1e-06,1e-06,0.02378403444288646,370.0,9.0,1001.0,42845.45347547531,0.0,0.9189189672470092,0.1646788269281387,0.892498254776001,0.3660049864392282
0.01,0.01,0.01965542250287933,370.0,10.0,1001.0,46642.49319052696,0.0,0.9594594836235046,0.2779742181301117,0.892498254776001,0.3660049864392282
0.01,1e-06,0.005092103825942451,370.0,11.0,1001.0,50416.31502151489,0.0,0.9594594836235046,0.1636660993099212,0.892498254776001,0.3660049864392282
1e-06,1e-06,0.008028624507422545,370.0,12.0,1001.0,54192.06479525566,0.0,0.9324324727058412,0.1498869955539703,0.8900019526481628,0.4054916014148059
1e-06,0.01,0.005558198921955308,370.0,13.0,1001.0,58031.88777375221,0.0,0.9054054021835328,0.2516913414001465,0.8900019526481628,0.4054916014148059
0.01,1e-06,0.009495407027891955,370.0,14.0,1001.0,61772.24872255325,0.0,0.9459459781646729,0.1556290686130523,0.8900019526481628,0.4054916014148059
1e-06,1e-06,0.01199852667521281,370.0,15.0,1001.0,65492.162808418274,0.0,0.9324324727058412,0.1778505593538284,0.8900019526481628,0.4054916014148059
0.00570379721668419,0.0007460829323688208,0.007572702749006729,370.0,16.0,1001.0,69173.24377059937,0.0,0.9594594836235046,0.1583561599254608,0.8900019526481628,0.4054916014148059
1e-06,1e-06,0.04704685873752417,370.0,17.0,1001.0,72956.7220082283,0.0,0.9324324727058412,0.1988208442926406,0.8900019526481628,0.4054916014148059
0.01,1e-06,0.006715638156017696,370.0,18.0,1001.0,76746.76460003853,0.0,0.9459459781646729,0.162237286567688,0.8900019526481628,0.4054916014148059
0.01,0.004329322650762777,0.0005725217731277096,370.0,19.0,1001.0,80434.32982969284,0.0,0.9594594836235046,0.2341518700122833,0.8900019526481628,0.4054916014148059
1e-06,0.00025026644234114187,0.1,370.0,20.0,1001.0,84149.98806166649,0.0,0.9054054617881776,0.2789783179759979,0.8900019526481628,0.4054916014148059
3.219383337023743e-06,3.689181957908946e-06,0.002192187254022075,370.0,21.0,1001.0,87830.64384508133,0.0,0.9324324727058412,0.1544458866119384,0.8900019526481628,0.4054916014148059
0.01,3.15814968716063e-06,0.019137870171259917,370.0,22.0,1001.0,91604.24279808998,0.0,0.9324324727058412,0.1489319056272506,0.8948888778686523,0.3573234106108656
2.981804708194012e-05,3.00771842244419e-05,0.004681963465902671,370.0,23.0,1001.0,95457.36522126198,0.0,0.9189189672470092,0.173756793141365,0.8948888778686523,0.3573234106108656
0.01,1e-06,0.03657714028746303,370.0,24.0,1001.0,99201.13203001022,0.0,0.9324324727058412,0.146864965558052,0.91061931848526,0.3085711337955967
0.01,1e-06,0.029931746094804968,370.0,25.0,1001.0,103058.94351649284,0.0,0.9324324131011964,0.1518081277608871,0.91061931848526,0.3085711337955967
0.01,1.215382152885971e-05,0.002146488081921885,370.0,26.0,1001.0,106750.1119017601,0.0,0.9729729890823364,0.155787318944931,0.91061931848526,0.3085711337955967
0.01,1.0413408421283159e-05,0.008256039837047919,370.0,27.0,1001.0,110415.78757739067,0.0,0.9459459781646729,0.1578186899423599,0.91061931848526,0.3085711337955967
1e-06,3.333581112747368e-06,0.0007103246933119126,370.0,28.0,1001.0,114189.7411532402,0.0,0.9594594836235046,0.1985041201114654,0.91061931848526,0.3085711337955967
0.01,1e-06,0.028868563511174235,370.0,29.0,1001.0,117875.90425419807,0.0,0.9324324131011964,0.1498438417911529,0.91061931848526,0.3085711337955967
0.01,4.822202637576126e-06,0.03842677856722498,370.0,30.0,1001.0,122263.53632211685,0.0,0.9189189672470092,0.1452645063400268,0.9092741012573242,0.3115831581186772
0.01,5.266720868498935e-06,0.035636756838919245,370.0,31.0,1001.0,125996.60139966011,0.0,0.9189189076423644,0.1475505828857422,0.9092741012573242,0.3115831581186772
1e-06,7.289179459995222e-05,0.001518657497352189,370.0,32.0,1001.0,129708.90783786774,0.0,0.9324324727058412,0.1667333394289016,0.9092741012573242,0.3115831581186772
0.01,4.9014641768359614e-06,0.03381748709799168,370.0,33.0,1001.0,133344.7083041668,0.0,0.9189189076423644,0.1433207094669342,0.9081813097000122,0.3144774194187455
0.0005326611538121833,0.004233803585056611,0.0006216153840699762,370.0,34.0,1001.0,137099.1513185501,0.0,0.9594594836235046,0.2207575589418411,0.9081813097000122,0.3144774194187455
0.01,5.8883679154201e-06,0.03232537179069498,370.0,35.0,1001.0,141019.54628300667,0.0,0.9324324131011964,0.1469838619232177,0.9081813097000122,0.3144774194187455
1.7547413041177135e-06,7.91075667332751e-06,0.0005043796336040412,370.0,0.0,1001.0,3483.293481826782,1.0,0.9594594836235046,0.2356095165014267,0.8593975305557251,0.498184097054041
0.0034424767798646888,0.01,0.06409990349943775,370.0,1.0,1001.0,11386.544362783432,1.0,0.8648648858070374,0.5444959402084351,0.8593975305557251,0.498184097054041
1.3280158158370098e-05,5.762406296055018e-06,0.00013538671107948366,370.0,2.0,1001.0,15013.773049116135,1.0,0.8648648858070374,1.0351639986038208,0.8593975305557251,0.498184097054041
1e-06,1.0597161666271303e-05,0.001687132220572565,370.0,3.0,1001.0,18729.890632867813,1.0,0.9459459781646729,0.1760590821504593,0.8815818428993225,0.4149077099520265
1e-06,5.141460577651658e-05,0.0001,370.0,4.0,1001.0,23062.14725279808,1.0,0.8648648858070374,1.452270269393921,0.8815818428993225,0.4149077099520265
9.148366991126019e-06,1e-06,0.0009269191088489885,370.0,5.0,1001.0,26707.627578020096,1.0,0.9459459781646729,0.1868270188570022,0.8815818428993225,0.4149077099520265
4.870142901481966e-05,0.00020593835898928187,0.0010048856893302195,370.0,6.0,1001.0,30902.855315208435,1.0,0.9324324727058412,0.180534228682518,0.8815818428993225,0.4149077099520265
5.683089863924327e-06,0.01,0.006835356617246104,370.0,7.0,1001.0,34563.66662025452,1.0,0.9189189672470092,0.236255258321762,0.8815818428993225,0.4149077099520265
0.01,1e-06,0.006300380819100043,370.0,8.0,1001.0,38436.37509536743,1.0,0.9594594836235046,0.1713023334741592,0.8908267617225647,0.3706353163739078
0.0070052876726720385,0.01,0.0033728609589226475,370.0,9.0,1001.0,42236.18666052818,1.0,0.9189189076423644,0.2434851974248886,0.8908267617225647,0.3706353163739078
0.01,1e-06,0.0004631113907413047,370.0,10.0,1001.0,45998.33321619034,1.0,0.9729729890823364,0.2598679661750793,0.8908267617225647,0.3706353163739078
1.910487535136481e-05,1e-06,0.004265614637018157,370.0,11.0,1001.0,49600.654190540314,1.0,0.9189189672470092,0.1679270416498184,0.8881099224090576,0.4070433774964543
1e-06,1e-06,0.017322961302774526,370.0,12.0,1001.0,53298.5376803875,1.0,0.9189189672470092,0.1714097708463668,0.8881099224090576,0.4070433774964543
1e-06,9.92875436673055e-06,0.00837219904510613,370.0,13.0,1001.0,57072.59024786949,1.0,0.9324324727058412,0.1521899700164795,0.8910545110702515,0.4058972801459798
1e-06,1e-06,0.008972653487062051,370.0,14.0,1001.0,60862.13880157471,1.0,0.9324324727058412,0.1574528664350509,0.8910545110702515,0.4058972801459798
0.01,1.2744556099136522e-05,0.010807161874732952,370.0,15.0,1001.0,64629.670929670334,1.0,0.9459459781646729,0.1608935743570327,0.8910545110702515,0.4058972801459798
1e-06,9.692696771116896e-06,0.0076831303385071,370.0,16.0,1001.0,68332.83128452301,1.0,0.9324324727058412,0.1503841131925583,0.8896899223327637,0.4045351950706076
