alpha,beta,lr_0,n,n_iter,random_state,runtime,seed,val_acc,val_nll,test_acc,test_nll
0.00758947976208385,0.0006780776932355295,0.0023886297077207034,40000.0,0.0,1001.0,7131.721702575684,0.0,0.9348750114440918,0.0200037903652992,0.9325000047683716,0.02044939864145
1.1021585497520294e-06,1e-06,0.1,40000.0,1.0,1001.0,22301.092462062836,0.0,0.25,0.129965796366334,0.9325000047683716,0.02044939864145
0.004010944282645275,0.001499872210830205,0.0006314853179664035,40000.0,2.0,1001.0,29777.094771385193,0.0,0.9269999861717224,0.0199709527093218,0.9223684072494508,0.0217007081213064
0.0022538079457403125,0.01,0.07832572719822133,40000.0,3.0,1001.0,37304.995549201965,0.0,0.9116250276565552,0.0252044089855626,0.9223684072494508,0.0217007081213064
0.0048513711930503025,1e-06,0.1,40000.0,4.0,1001.0,44933.40360164642,0.0,0.9167500138282776,0.0255214448638725,0.9223684072494508,0.0217007081213064
0.01,0.01,0.0001,40000.0,5.0,1001.0,52482.03713798523,0.0,0.9022500514984132,0.0263149442668072,0.9223684072494508,0.0217007081213064
0.0026012039872703807,1e-06,0.0001,40000.0,6.0,1001.0,60117.28449320793,0.0,0.9021250009536744,0.0263020042902789,0.9223684072494508,0.0217007081213064
0.005281668135329836,9.430142905293679e-05,0.0001,40000.0,7.0,1001.0,67742.92877984047,0.0,0.9019999504089355,0.0263066117595881,0.9223684072494508,0.0217007081213064
0.005063867080051969,0.01,0.004229632070487309,40000.0,8.0,1001.0,75477.40652227402,0.0,0.9354999661445618,0.0238909063786268,0.9223684072494508,0.0217007081213064
0.01,1e-06,0.0037110269530133944,40000.0,9.0,1001.0,83166.32280468941,0.0,0.9353749752044678,0.0227122675771534,0.9223684072494508,0.0217007081213064
0.01,0.01,0.07093480985339408,40000.0,10.0,1001.0,90810.49246549606,0.0,0.937250018119812,0.0205304754237877,0.9223684072494508,0.0217007081213064
0.01,0.01,0.053903590103025735,40000.0,11.0,1001.0,98539.95327568054,0.0,0.9384999871253968,0.0213423751338268,0.9223684072494508,0.0217007081213064
1.7547413041177135e-06,7.91075667332751e-06,0.0005043796336040412,40000.0,0.0,1001.0,7226.913441181183,1.0,0.9237499833106996,0.0205080923270434,0.9201315641403198,0.0222843978426566
0.0034424767798646888,0.01,0.06409990349943775,40000.0,1.0,1001.0,22457.66979908943,1.0,0.9338749647140504,0.0258485580599371,0.9201315641403198,0.0222843978426566
1.3466624240948838e-05,5.834373381477193e-06,0.00013643084969583143,40000.0,2.0,1001.0,30171.787787675858,1.0,0.9059999585151672,0.0250961881270632,0.9201315641403198,0.0222843978426566
1e-06,1.0132362067542381e-05,0.0014780144145337575,40000.0,3.0,1001.0,37729.47678899765,1.0,0.9337499737739564,0.0191174170353915,0.9301315546035768,0.0203929614044088
1e-06,5.886398280244742e-05,0.005252211772959462,40000.0,4.0,1001.0,45403.49486327171,1.0,0.934624969959259,0.0289029562925934,0.9301315546035768,0.0203929614044088
1e-06,7.867433554802519e-06,0.012207039187688817,40000.0,5.0,1001.0,53034.77257514,1.0,0.937749981880188,0.0388370191493331,0.9301315546035768,0.0203929614044088
1e-06,0.00025613609468516256,0.0010723048534705168,40000.0,6.0,1001.0,60709.209481954575,1.0,0.9299999475479126,0.0191932825591648,0.9301315546035768,0.0203929614044088
1.6128939481514518e-05,1.399963554549126e-05,0.0012184165695294652,40000.0,7.0,1001.0,68160.61828231812,1.0,0.9321250319480896,0.0190698916204855,0.9296053051948548,0.0205218244337868
1e-06,1e-06,0.1,40000.0,8.0,1001.0,75720.33190631866,1.0,0.25,0.1299701692163944,0.9296053051948548,0.0205218244337868
1.0973213046303806e-05,0.0014250007387934846,0.0026931041260878376,40000.0,9.0,1001.0,83268.97757744789,1.0,0.9358749389648438,0.0210174608378147,0.9296053051948548,0.0205218244337868
1e-06,1.6758093802836264e-05,0.0001,40000.0,10.0,1001.0,90995.47191047668,1.0,0.9021250009536744,0.0262997778067365,0.9296053051948548,0.0205218244337868
0.01,0.0006245534740218729,0.0001,40000.0,11.0,1001.0,98730.42877292633,1.0,0.9021250009536744,0.0263108878000639,0.9296053051948548,0.0205218244337868
0.004679965619116805,2.4415231675522605e-06,0.01337376014945696,40000.0,0.0,1001.0,7152.224883079529,2.0,0.9363750219345092,0.0346311089085447,0.9353947639465332,0.029231453311628
