criterion,model_name,n,random_state,runtime,val_acc,val_nll,val_bma_acc,val_clml
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.0001_n=100_random_state=2001,100,2001,3526.6514570713043,0.550000011920929,1.455422282218933,0.55,-6.653997148965978
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.0001_n=100_random_state=3001,100,3001,4020.042531490326,0.75,0.9679504632949828,0.75,-5.698800768350743
l2-sp,l2-sp_alpha=0.01_beta=1e-05_lr_0=0.1_n=100_random_state=1001,100,1001,3588.8116586208344,0.6500000357627869,1.237602472305298,0.7,-0.94230553100028
l2-sp,l2-sp_alpha=0.01_beta=1e-05_lr_0=0.1_n=100_random_state=2001,100,2001,3506.859414577484,0.75,1.422398805618286,0.75,-0.7284350056401725
l2-sp,l2-sp_alpha=0.01_beta=1e-05_lr_0=0.1_n=100_random_state=3001,100,3001,3512.8096137046814,0.9000000357627869,0.4188556671142578,0.9,-0.6749696392766471
l2-sp,l2-sp_alpha=0.01_beta=1e-05_lr_0=0.01_n=100_random_state=1001,100,1001,3657.9760081768036,0.6000000238418579,1.1526564359664917,0.6,-1.1326865811101432
l2-sp,l2-sp_alpha=0.01_beta=1e-05_lr_0=0.01_n=100_random_state=2001,100,2001,3523.1902425289154,0.6500000357627869,1.577502727508545,0.65,-1.496052827333593
l2-sp,l2-sp_alpha=0.01_beta=1e-05_lr_0=0.01_n=100_random_state=3001,100,3001,3596.1236667633057,0.8500000238418579,0.4965410232543945,0.9,-1.0409354824773307
l2-sp,l2-sp_alpha=0.01_beta=1e-05_lr_0=0.001_n=100_random_state=1001,100,1001,3550.473093032837,0.6500000357627869,1.2031781673431396,0.7,-1.4567304510823722
l2-sp,l2-sp_alpha=0.01_beta=1e-05_lr_0=0.001_n=100_random_state=2001,100,2001,3547.6208243370056,0.550000011920929,2.049414157867432,0.55,-1.5159697193852897
l2-sp,l2-sp_alpha=0.01_beta=1e-05_lr_0=0.001_n=100_random_state=3001,100,3001,3639.3573048114777,0.7000000476837158,0.8058773875236511,0.75,-2.4989051480046744
l2-sp,l2-sp_alpha=0.01_beta=1e-05_lr_0=0.0001_n=100_random_state=1001,100,1001,3732.401125907898,0.6499999761581421,1.2154276371002195,0.65,-7.064516987299108
