criterion,model_name,n,random_state,runtime,test_acc,test_nll
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.001_n=40000_random_state=2001,40000,2001,7219.16487288475,0.9271052479743958,0.0209032184227467
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.001_n=40000_random_state=3001,40000,3001,7073.085504055023,0.9248684644699096,0.0207662467634011
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.001_n=120000_random_state=1001,120000,1001,7090.016340255737,0.92802631855011,0.0201293247845023
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.001_n=120000_random_state=2001,120000,2001,7411.699825525283,0.929736852645874,0.019852137385843
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.001_n=120000_random_state=3001,120000,3001,7110.704426765442,0.92881578207016,0.0198454269852587
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.0001_n=40_random_state=1001,40,1001,6391.319715023041,0.6917105317115784,0.135043717677656
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.0001_n=40_random_state=2001,40,2001,6409.427314758301,0.7630262970924377,0.0990135645709539
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.0001_n=40_random_state=3001,40,3001,6566.740587949753,0.6855263113975525,0.1201365871531399
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.0001_n=400_random_state=1001,400,1001,7619.886640787125,0.8440789580345154,0.0587365714391987
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.0001_n=400_random_state=2001,400,2001,7469.472638845444,0.8701316118240356,0.0528116798555282
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.0001_n=400_random_state=3001,400,3001,7373.56910777092,0.8513157367706299,0.0547554516115863
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.0001_n=4000_random_state=1001,4000,1001,7586.471338510513,0.8942105770111084,0.0306219103138305
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.0001_n=4000_random_state=2001,4000,2001,7751.36318564415,0.8931578993797302,0.0316424038089615
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.0001_n=4000_random_state=3001,4000,3001,7644.786818027496,0.8959211111068726,0.0311389944290644
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.0001_n=40000_random_state=1001,40000,1001,7095.208030223846,0.8988158106803894,0.0278935743814432
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.0001_n=40000_random_state=2001,40000,2001,7223.322335720062,0.8976315855979919,0.0306002431970678
