alpha,beta,lr_0,n,n_iter,random_state,runtime,seed,val_acc,val_nll,test_acc,test_nll
0.00758947976208385,0.0006780776932355295,0.0023886297077207034,510.0,0.0,1001.0,3388.0391104221344,0.0,0.7941176891326904,0.9448467493057252,0.8324930667877197,0.8203263391172195
1.1021585497520294e-06,1e-06,0.1,510.0,1.0,1001.0,10784.78758263588,0.0,0.6666666865348816,1.4888240098953247,0.8324930667877197,0.8203263391172195
0.003447523760987818,0.0014786938585487671,0.0006390038244662826,510.0,2.0,1001.0,14534.99634361267,0.0,0.7647059559822083,1.545154690742493,0.8324930667877197,0.8203263391172195
0.01,0.0005131066793414823,0.0038044154184881354,510.0,3.0,1001.0,18374.722631692886,0.0,0.8137255311012268,0.8941697478294373,0.8494569659233093,0.7624029329340135
0.01,0.0031770683515095406,0.004515396146640271,510.0,4.0,1001.0,22179.25415301323,0.0,0.8137255311012268,0.9279071092605592,0.8494569659233093,0.7624029329340135
0.0013880598123601634,5.9769724796630145e-06,0.0039756181975368204,510.0,5.0,1001.0,26563.057941675186,0.0,0.803921639919281,0.8296688199043274,0.8564271926879883,0.7041538004707537
5.309657749693954e-06,4.7441630636546e-05,0.0036321356979509825,510.0,6.0,1001.0,30465.25111556053,0.0,0.803921639919281,0.8225334882736206,0.8569982051849365,0.703825085061748
1e-06,1e-06,0.0035887868174487593,510.0,7.0,1001.0,33477.8655462265,0.0,0.803921639919281,0.8191117644309998,0.8564305305480957,0.7057216582326972
1e-06,1e-06,0.004757833449202801,510.0,8.0,1001.0,37225.70872616768,0.0,0.8333333730697632,0.7869725227355957,0.8602204918861389,0.6759665448259177
1e-06,1e-06,0.009493080114778082,510.0,9.0,1001.0,40889.54849934578,0.0,0.7941176891326904,0.7798733711242676,0.8831924796104431,0.5624328255735169
0.01,1e-06,0.009708849346166318,510.0,10.0,1001.0,44591.72137212753,0.0,0.7647058963775635,0.9701915979385376,0.8831924796104431,0.5624328255735169
1e-06,1e-06,0.006650101618913156,510.0,11.0,1001.0,48263.41928982735,0.0,0.7647059559822083,0.7962138056755066,0.8831924796104431,0.5624328255735169
1e-06,0.01,0.013861818744870713,510.0,12.0,1001.0,51944.84617614746,0.0,0.7156862616539001,1.14828622341156,0.8831924796104431,0.5624328255735169
1e-06,1e-06,0.0001,510.0,13.0,1001.0,55757.0433986187,0.0,0.3333333432674408,3.756284713745117,0.8831924796104431,0.5624328255735169
1e-06,1e-06,0.006143372824011225,510.0,14.0,1001.0,59550.487028837204,0.0,0.7843137979507446,0.7484132647514343,0.8698748350143433,0.6328900791480495
1e-06,1e-06,0.00643977906036109,510.0,15.0,1001.0,63279.38345313072,0.0,0.7941176891326904,0.750346302986145,0.8698748350143433,0.6328900791480495
1e-06,1e-06,0.006448063638910226,510.0,16.0,1001.0,67025.63679122925,0.0,0.7941176891326904,0.7523141503334045,0.8698748350143433,0.6328900791480495
1.0527221347374987e-05,1e-06,0.005898829208153529,510.0,17.0,1001.0,70774.45376229286,0.0,0.8137255311012268,0.7460612654685974,0.867746889591217,0.6433371838832274
1.2524935459786055e-05,1e-06,0.005903637874101624,510.0,18.0,1001.0,74471.05932354927,0.0,0.8137255311012268,0.747557520866394,0.867746889591217,0.6433371838832274
1.1547293948874113e-05,1e-06,0.005930568524563948,510.0,19.0,1001.0,78189.86518907547,0.0,0.8039215803146362,0.7464525103569031,0.867746889591217,0.6433371838832274
1.1019413138064623e-05,1e-06,0.005945988680274234,510.0,20.0,1001.0,81839.41023254395,0.0,0.8137255311012268,0.7351556420326233,0.8673973083496094,0.6421501586626588
1.4659391578394614e-05,1e-06,0.005926127499038704,510.0,21.0,1001.0,85585.86793065071,0.0,0.8039215803146362,0.7443627715110779,0.8673973083496094,0.6421501586626588
1.3969565921593312e-05,1e-06,0.0059781305086215675,510.0,22.0,1001.0,89400.94416499138,0.0,0.8137255311012268,0.7447376847267151,0.8673973083496094,0.6421501586626588
1.3598759845787811e-05,1e-06,0.005999128986787848,510.0,23.0,1001.0,93067.0588285923,0.0,0.8137255311012268,0.7577834725379944,0.8673973083496094,0.6421501586626588
1.4746373332578779e-05,4.3377613722414335e-06,0.006052745678641876,510.0,24.0,1001.0,98857.24873137474,0.0,0.8137255311012268,0.7474218606948853,0.8673973083496094,0.6421501586626588
1.4591894089961606e-05,4.638882904163854e-06,0.0060809866320033065,510.0,25.0,1001.0,103216.01084113121,0.0,0.7941176891326904,0.7559064030647278,0.8673973083496094,0.6421501586626588
0.01,0.01,0.1,510.0,26.0,1001.0,106951.46879696846,0.0,0.7156863212585449,1.3759799003601074,0.8673973083496094,0.6421501586626588
1.499208666489293e-05,4.897818918198709e-06,0.006129324451937265,510.0,27.0,1001.0,110721.89696002007,0.0,0.7941176891326904,0.7530063390731812,0.8673973083496094,0.6421501586626588
1.4770307885469616e-05,4.6558023194469336e-06,0.006130395669322922,510.0,28.0,1001.0,114471.64902114868,0.0,0.7941176891326904,0.753181517124176,0.8673973083496094,0.6421501586626588
1.463227402579674e-05,4.477178070906857e-06,0.0061372502422124085,510.0,29.0,1001.0,118199.10215997696,0.0,0.7843137979507446,0.7504829168319702,0.8673973083496094,0.6421501586626588
1.4558760124702058e-05,4.392315293639858e-06,0.006154976246463871,510.0,30.0,1001.0,121958.94850444794,0.0,0.7843137979507446,0.748643159866333,0.8673973083496094,0.6421501586626588
1.4534459008441645e-05,4.350790051343184e-06,0.006182457040021927,510.0,31.0,1001.0,125723.30919098854,0.0,0.803921639919281,0.7498062252998352,0.8673973083496094,0.6421501586626588
