criterion,model_name,n,random_state,runtime,test_acc,test_nll
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.001_n=3441_random_state=2001,3441,2001,3514.442732810974,0.9341360926628112,0.2030733796808757
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.001_n=3441_random_state=3001,3441,3001,3497.3298120498657,0.9326038360595704,0.2206386636285698
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.0001_n=370_random_state=1001,370,1001,3496.872292995453,0.8041773438453674,1.582563546802732
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.0001_n=370_random_state=2001,370,2001,3444.59397149086,0.7909166812896729,1.698254009948891
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.0001_n=370_random_state=3001,370,3001,3451.5101869106293,0.8138275146484375,1.5676012419978484
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.0001_n=3441_random_state=1001,3441,1001,3907.233672618866,0.8143944144248962,1.4311318176583527
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.0001_n=3441_random_state=2001,3441,2001,3897.8977456092834,0.7733543515205383,1.6311834282821775
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.0001_n=3441_random_state=3001,3441,3001,4046.2531747817993,0.7735897302627563,1.4860159588561912
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.1_n=370_random_state=1001,370,1001,3937.8372581005096,0.9112460017204284,0.290484324645918
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.1_n=370_random_state=2001,370,2001,3531.3194391727448,0.8935158252716064,0.3441249439109529
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.1_n=370_random_state=3001,370,3001,3446.6247265338898,0.9006483554840088,0.3000177988914139
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.1_n=3441_random_state=1001,3441,1001,3993.6063091754913,0.9399237036705016,0.2044497613006815
