criterion,model_name,n,random_state,runtime,test_acc,test_nll
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.001_n=1020_random_state=2001,1020,2001,7296.485273361206,0.9094865322113036,0.5560405122873201
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.001_n=1020_random_state=3001,1020,3001,7192.07781791687,0.9158968925476074,0.5142797111573114
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.0001_n=510_random_state=1001,510,1001,7316.594720363617,0.545268714427948,3.2857718320372906
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.0001_n=510_random_state=2001,510,2001,7173.972800254822,0.5783083438873291,3.210048933885295
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.0001_n=510_random_state=3001,510,3001,8477.209269285202,0.62425297498703,3.0941619001417404
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.0001_n=1020_random_state=1001,1020,1001,7710.6525185108185,0.5976930260658264,3.1431681719770825
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.0001_n=1020_random_state=2001,1020,2001,7886.988290309906,0.6111297607421875,3.168412845761704
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.0001_n=1020_random_state=3001,1020,3001,8174.015441894531,0.6324182152748108,3.1081848205405724
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.1_n=510_random_state=1001,510,1001,8768.224561214447,0.7711840867996216,0.9947234304731776
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.1_n=510_random_state=2001,510,2001,8204.564899921417,0.8067488670349121,0.933663159817249
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.1_n=510_random_state=3001,510,3001,7274.028473615646,0.8195974230766296,0.8086610811379774
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.1_n=1020_random_state=1001,1020,1001,7247.10458946228,0.8976582288742065,0.4714057187294258
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.1_n=1020_random_state=2001,1020,2001,7183.128335475922,0.901701807975769,0.4550038535947003
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.1_n=1020_random_state=3001,1020,3001,7437.043415784836,0.8787205219268799,0.5387413428845222
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.01_n=510_random_state=1001,510,1001,8064.483140468597,0.7885542511940002,1.0280907800632255
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.01_n=510_random_state=2001,510,2001,7301.440666913986,0.8060234189033508,1.017323536424254
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.01_n=510_random_state=3001,510,3001,7246.011924982071,0.822393536567688,0.9248267254474244
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.01_n=1020_random_state=1001,1020,1001,8189.824531793594,0.8886173367500305,0.5484407641239566
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.01_n=1020_random_state=2001,1020,2001,7257.671149015427,0.8918954133987427,0.5528375602898742
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.01_n=1020_random_state=3001,1020,3001,8323.394773483276,0.8953143358230591,0.5068701344217628
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.001_n=510_random_state=1001,510,1001,7552.204097032547,0.8203665018081665,1.0230237024938174
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.001_n=510_random_state=2001,510,2001,7237.7326946258545,0.8295642137527466,1.02200595130376
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.001_n=510_random_state=3001,510,3001,7244.17737865448,0.8458210229873657,0.9338224451606654
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.001_n=1020_random_state=1001,1020,1001,7301.423287391663,0.9121387600898744,0.531096852752402
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.001_n=1020_random_state=2001,1020,2001,7192.429284095764,0.9092168807983398,0.5517185310616418
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.001_n=1020_random_state=3001,1020,3001,7120.653345108032,0.9154782295227052,0.5097804407042825
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.0001_n=510_random_state=1001,510,1001,8367.680607318878,0.545268714427948,3.2854399242950154
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.0001_n=510_random_state=2001,510,2001,7286.120502710342,0.5783641338348389,3.2097019567627663
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.0001_n=510_random_state=3001,510,3001,7190.047399044037,0.6241021752357483,3.0937413457816825
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.0001_n=1020_random_state=1001,1020,1001,7165.961901187897,0.5976332426071167,3.142760789768544
