criterion,model_name,n,random_state,runtime,test_acc,test_nll
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.0001_n=1000_random_state=1001,1000,1001,2783.7550241947174,0.8034000396728516,0.7868710108757019
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.0001_n=1000_random_state=2001,1000,2001,2093.813683271408,0.8074999451637268,0.8115036575317383
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.0001_n=1000_random_state=3001,1000,3001,2093.3786087036133,0.7979999780654907,0.806186334991455
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.0001_n=10000_random_state=1001,10000,1001,2060.915247440338,0.8059999942779541,0.8222225488662719
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.0001_n=10000_random_state=2001,10000,2001,2102.2445702552795,0.8136000037193298,0.8512271429061892
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.0001_n=10000_random_state=3001,10000,3001,2067.031961917877,0.8102999925613403,0.8381149658203123
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.0001_n=50000_random_state=1001,50000,1001,2052.702180147171,0.8045000433921814,0.8381896622657775
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.0001_n=50000_random_state=2001,50000,2001,2181.404836654663,0.8125999569892883,0.8594501135826114
l2-sp,l2-sp_alpha=0.01_beta=0.01_lr_0=0.0001_n=50000_random_state=3001,50000,3001,1985.3523149490356,0.8062000274658203,0.8556089128494264
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.1_n=100_random_state=1001,100,1001,1701.5938668251038,0.6884999871253967,1.02240960521698
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.1_n=100_random_state=2001,100,2001,1697.0864918231964,0.6780999898910522,1.0076713397979735
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.1_n=100_random_state=3001,100,3001,1829.1550047397614,0.7227999567985535,0.8533417873382569
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.1_n=1000_random_state=1001,1000,1001,2304.300070285797,0.8931000232696533,0.3610491725206375
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.1_n=1000_random_state=2001,1000,2001,2312.4909105300903,0.8873000741004944,0.3809556133270264
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.1_n=1000_random_state=3001,1000,3001,2272.2428138256073,0.8829999566078186,0.3965935662269593
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.1_n=10000_random_state=1001,10000,1001,2448.581514120102,0.9517000913619996,0.1705819884777068
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.1_n=10000_random_state=2001,10000,2001,2257.8770337104797,0.9501000046730042,0.1785970092058182
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.1_n=10000_random_state=3001,10000,3001,2046.9622266292572,0.9490999579429626,0.1822983000278472
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.1_n=50000_random_state=1001,50000,1001,2095.320206642151,0.9681000113487244,0.0993444043397903
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.1_n=50000_random_state=2001,50000,2001,2083.4628348350525,0.968999981880188,0.1010700064659119
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.1_n=50000_random_state=3001,50000,3001,1987.950402021408,0.9691999554634094,0.099152273106575
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.01_n=100_random_state=1001,100,1001,1624.6917583942413,0.6845999956130981,0.9744189240455629
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.01_n=100_random_state=2001,100,2001,2124.5826303958893,0.6625999808311462,1.0464934534072878
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.01_n=100_random_state=3001,100,3001,1780.689129114151,0.6924000382423401,0.95019086971283
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.01_n=1000_random_state=1001,1000,1001,2180.3695380687714,0.8764999508857727,0.4293614241361618
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.01_n=1000_random_state=2001,1000,2001,2191.156763315201,0.8708000183105469,0.436284812784195
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.01_n=1000_random_state=3001,1000,3001,2186.2415981292725,0.8709000945091248,0.4542629776477814
