criterion,model_name,n,random_state,runtime,test_acc,test_nll
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.001_n=1020_random_state=1001,1020,1001,1744.8803918361664,0.9148011803627014,0.4900672392449227
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.001_n=1020_random_state=2001,1020,2001,1482.8269498348236,0.9122731685638428,0.4754541773172749
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.001_n=1020_random_state=3001,1020,3001,1486.1757340431213,0.9140324592590332,0.475206619595988
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.0001_n=510_random_state=1001,510,1001,1526.0704579353333,0.6482113003730774,3.21383135305961
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.0001_n=510_random_state=2001,510,2001,1484.6272070407867,0.6443761587142944,3.2179230263144394
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.0001_n=510_random_state=3001,510,3001,1685.7710115909576,0.6403241157531738,3.213382251612789
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.0001_n=1020_random_state=1001,1020,1001,1736.5547852516174,0.6732789278030396,3.257363670840459
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.0001_n=1020_random_state=2001,1020,2001,1744.5241146087646,0.6503035426139832,3.2612701178101107
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.0001_n=1020_random_state=3001,1020,3001,1582.8875515460968,0.6435566544532776,3.265390584790274
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.1_n=510_random_state=1001,510,1001,1480.4090821743011,0.8197795152664185,0.8212584056260672
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.1_n=510_random_state=2001,510,2001,1526.0623214244843,0.8319182395935059,0.748117045424715
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.1_n=510_random_state=3001,510,3001,1495.7166497707367,0.821057915687561,0.7743652858697927
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.1_n=1020_random_state=1001,1020,1001,1696.0235064029694,0.8947096467018127,0.4625561058177158
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.1_n=1020_random_state=2001,1020,2001,1739.076236486435,0.9019400477409364,0.4423018713793882
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.1_n=1020_random_state=3001,1020,3001,1739.522542476654,0.9002848863601685,0.449203731663235
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.01_n=510_random_state=1001,510,1001,1478.7296779155731,0.8256133198738098,0.8466683059475211
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.01_n=510_random_state=2001,510,2001,1476.519333600998,0.8345377445220947,0.7937970940307799
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.01_n=510_random_state=3001,510,3001,1533.285260438919,0.8246145844459534,0.8185658760491203
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.01_n=1020_random_state=1001,1020,1001,1451.051775932312,0.9073591828346252,0.4636184452387845
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.01_n=1020_random_state=2001,1020,2001,1693.6072709560394,0.9050860404968262,0.4494368570470074
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.01_n=1020_random_state=3001,1020,3001,1750.5470843315125,0.9050262570381165,0.4487707092788553
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.001_n=510_random_state=1001,510,1001,1763.8247635364532,0.8334835767745972,0.881489986772798
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.001_n=510_random_state=2001,510,2001,1685.6873335838318,0.8399530649185181,0.8287791910537823
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.001_n=510_random_state=3001,510,3001,1406.2924976348877,0.8375071883201599,0.8520419705422267
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.001_n=1020_random_state=1001,1020,1001,1524.6236543655396,0.9142926335334778,0.4867273859848122
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.001_n=1020_random_state=2001,1020,2001,1492.0603699684143,0.9115389585494996,0.4719585254721756
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.001_n=1020_random_state=3001,1020,3001,1483.8064360618591,0.9137290120124816,0.4717318765718505
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.0001_n=510_random_state=1001,510,1001,1502.3838319778442,0.6480628848075867,3.2133369012312456
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.0001_n=510_random_state=2001,510,2001,1487.153029203415,0.6443761587142944,3.2174353750377467
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.0001_n=510_random_state=3001,510,3001,1496.0064806938171,0.6403241157531738,3.212876906936238
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.0001_n=1020_random_state=1001,1020,1001,1477.4535143375397,0.6734297871589661,3.256888694618945
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.0001_n=1020_random_state=2001,1020,2001,1454.414803981781,0.6503035426139832,3.260778413456346
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.0001_n=1020_random_state=3001,1020,3001,1472.5550179481506,0.6435660123825073,3.2648943800483416
l2-sp,l2-sp_alpha=0.01_beta=1e-05_lr_0=0.1_n=510_random_state=1001,510,1001,1475.2731721401215,0.8133514523506165,0.8404819166275965
l2-sp,l2-sp_alpha=0.01_beta=1e-05_lr_0=0.1_n=510_random_state=2001,510,2001,1479.503766298294,0.8259739279747009,0.7600420806144975
l2-sp,l2-sp_alpha=0.01_beta=1e-05_lr_0=0.1_n=510_random_state=3001,510,3001,1492.0968837738037,0.8166719079017639,0.7833673416208707
l2-sp,l2-sp_alpha=0.01_beta=1e-05_lr_0=0.1_n=1020_random_state=1001,1020,1001,1459.8776733875275,0.8943654894828796,0.4746177115235742
l2-sp,l2-sp_alpha=0.01_beta=1e-05_lr_0=0.1_n=1020_random_state=2001,1020,2001,1661.6688632965088,0.8980696797370911,0.4552340165345863
l2-sp,l2-sp_alpha=0.01_beta=1e-05_lr_0=0.1_n=1020_random_state=3001,1020,3001,1388.0683107376099,0.8970246315002441,0.4578460916680805
l2-sp,l2-sp_alpha=0.01_beta=1e-05_lr_0=0.01_n=510_random_state=1001,510,1001,1467.45241189003,0.8249190449714661,0.8454142906453905
